county,fips,cong_dist
Androscoggin ME,23001,Maine-2
Aroostook ME,23003,Maine-2
Cumberland ME,23005,Maine-1
Franklin ME,23007,Maine-2
Hancock ME,23009,Maine-2
Kennebec ME,23011,Maine-1
Knox ME,23013,Maine-1
Lincoln ME,23015,Maine-1
Oxford ME,23017,Maine-2
Penobscot ME,23019,Maine-2
Piscataquis ME,23021,Maine-2
Sagadahoc ME,23023,Maine-1
Somerset ME,23025,Maine-2
Waldo ME,23027,Maine-2
Washington ME,23029,Maine-2
York ME,23031,Maine-1
Adams NE,31001,Nebraska-3
Antelope NE,31003,Nebraska-3
Arthur NE,31005,Nebraska-3
Banner NE,31007,Nebraska-3
Blaine NE,31009,Nebraska-3
Boone NE,31011,Nebraska-3
Box Butte NE,31013,Nebraska-3
Boyd NE,31015,Nebraska-3
Brown NE,31017,Nebraska-3
Buffalo NE,31019,Nebraska-3
Burt NE,31021,Nebraska-1
Butler NE,31023,Nebraska-1
Cass NE,31025,Nebraska-1
Cedar NE,31027,Nebraska-3
Chase NE,31029,Nebraska-3
Cherry NE,31031,Nebraska-3
Cheyenne NE,31033,Nebraska-3
Clay NE,31035,Nebraska-3
Colfax NE,31037,Nebraska-1
Cuming NE,31039,Nebraska-1
Custer NE,31041,Nebraska-3
Dakota NE,31043,Nebraska-3
Dawes NE,31045,Nebraska-3
Dawson NE,31047,Nebraska-3
Deuel NE,31049,Nebraska-3
Dixon NE,31051,Nebraska-3
Dodge NE,31053,Nebraska-1
Douglas NE,31055,Nebraska-2
Dundy NE,31057,Nebraska-3
Fillmore NE,31059,Nebraska-3
Franklin NE,31061,Nebraska-3
Frontier NE,31063,Nebraska-3
Furnas NE,31065,Nebraska-3
Gage NE,31067,Nebraska-3
Garden NE,31069,Nebraska-3
Garfield NE,31071,Nebraska-3
Gosper NE,31073,Nebraska-3
Grant NE,31075,Nebraska-3
Greeley NE,31077,Nebraska-3
Hall NE,31079,Nebraska-3
Hamilton NE,31081,Nebraska-3
Harlan NE,31083,Nebraska-3
Hayes NE,31085,Nebraska-3
Hitchcock NE,31087,Nebraska-3
Holt NE,31089,Nebraska-3
Hooker NE,31091,Nebraska-3
Howard NE,31093,Nebraska-3
Jefferson NE,31095,Nebraska-3
Johnson NE,31097,Nebraska-3
Kearney NE,31099,Nebraska-3
Keith NE,31101,Nebraska-3
Keya Paha NE,31103,Nebraska-3
Kimball NE,31105,Nebraska-3
Knox NE,31107,Nebraska-3
Lancaster NE,31109,Nebraska-1
Lincoln NE,31111,Nebraska-3
Logan NE,31113,Nebraska-3
Loup NE,31115,Nebraska-3
McPherson NE,31117,Nebraska-3
Madison NE,31119,Nebraska-1
Merrick NE,31121,Nebraska-3
Morrill NE,31123,Nebraska-3
Nance NE,31125,Nebraska-3
Nemaha NE,31127,Nebraska-3
Nuckolls NE,31129,Nebraska-3
Otoe NE,31131,Nebraska-1
Pawnee NE,31133,Nebraska-3
Perkins NE,31135,Nebraska-3
Phelps NE,31137,Nebraska-3
Pierce NE,31139,Nebraska-3
Platte NE,31141,Nebraska-1
Polk NE,31143,Nebraska-1
Red Willow NE,31145,Nebraska-3
Richardson NE,31147,Nebraska-3
Rock NE,31149,Nebraska-3
Saline NE,31151,Nebraska-3
Sarpy NE,31153,Nebraska-2
Saunders NE,31155,Nebraska-1
Scotts Bluff NE,31157,Nebraska-3
Seward NE,31159,Nebraska-1
Sheridan NE,31161,Nebraska-3
Sherman NE,31163,Nebraska-3
Sioux NE,31165,Nebraska-3
Stanton NE,31167,Nebraska-1
Thayer NE,31169,Nebraska-3
Thomas NE,31171,Nebraska-3
Thurston NE,31173,Nebraska-1
Valley NE,31175,Nebraska-3
Washington NE,31177,Nebraska-1
Wayne NE,31179,Nebraska-3
Webster NE,31181,Nebraska-3
Wheeler NE,31183,Nebraska-3
